proname,args,owner
st_concavehull,"param_geom geometry, param_pctconvex double precision, param_allow_holes boolean",postgis
st_contains,"geom1 geometry, geom2 geometry",postgis
st_containsproperly,"geom1 geometry, geom2 geometry",postgis
st_convexhull,geometry,postgis
st_coorddim,geometry geometry,postgis
st_coveredby,"geog1 geography, geog2 geography",postgis
st_coveredby,"geom1 geometry, geom2 geometry",postgis
st_coveredby,"text, text",postgis
st_covers,"geom1 geometry, geom2 geometry",postgis
st_covers,"geog1 geography, geog2 geography",postgis
st_covers,"text, text",postgis
st_cpawithin,"geometry, geometry, double precision",postgis
st_crosses,"geom1 geometry, geom2 geometry",postgis
st_curvetoline,"geom geometry, tol double precision, toltype integer, flags integer",postgis
st_delaunaytriangles,"g1 geometry, tolerance double precision, flags integer",postgis
st_dfullywithin,"geom1 geometry, geom2 geometry, double precision",postgis
st_difference,"geom1 geometry, geom2 geometry, gridsize double precision",postgis
st_dimension,geometry,postgis
st_disjoint,"geom1 geometry, geom2 geometry",postgis
st_distance,"text, text",postgis
st_distance,"geog1 geography, geog2 geography, use_spheroid boolean",postgis
st_distance,"geom1 geometry, geom2 geometry",postgis
