function_name,arguments,return_type,security
geometry_overlaps_3d,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
geometry_overlaps_nd,"geometry, geometry",boolean,SECURITY INVOKER
geometry_overleft,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
geometry_overright,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
geometry_recv,internal,geometry,SECURITY INVOKER
geometry_right,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
geometry_same,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
geometry_same_3d,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
geometry_same_nd,"geometry, geometry",boolean,SECURITY INVOKER
geometry_send,geometry,bytea,SECURITY INVOKER
geometry_sortsupport,internal,void,SECURITY INVOKER
geometry_spgist_choose_2d,"internal, internal",void,SECURITY INVOKER
geometry_spgist_choose_3d,"internal, internal",void,SECURITY INVOKER
geometry_spgist_choose_nd,"internal, internal",void,SECURITY INVOKER
geometry_spgist_compress_2d,internal,internal,SECURITY INVOKER
geometry_spgist_compress_3d,internal,internal,SECURITY INVOKER
geometry_spgist_compress_nd,internal,internal,SECURITY INVOKER
geometry_spgist_config_2d,"internal, internal",void,SECURITY INVOKER
geometry_spgist_config_3d,"internal, internal",void,SECURITY INVOKER
geometry_spgist_config_nd,"internal, internal",void,SECURITY INVOKER
geometry_spgist_inner_consistent_2d,"internal, internal",void,SECURITY INVOKER
geometry_spgist_inner_consistent_3d,"internal, internal",void,SECURITY INVOKER
geometry_spgist_inner_consistent_nd,"internal, internal",void,SECURITY INVOKER
geometry_spgist_leaf_consistent_2d,"internal, internal",boolean,SECURITY INVOKER
geometry_spgist_leaf_consistent_3d,"internal, internal",boolean,SECURITY INVOKER
geometry_spgist_leaf_consistent_nd,"internal, internal",boolean,SECURITY INVOKER
geometry_spgist_picksplit_2d,"internal, internal",void,SECURITY INVOKER
geometry_spgist_picksplit_3d,"internal, internal",void,SECURITY INVOKER
geometry_spgist_picksplit_nd,"internal, internal",void,SECURITY INVOKER
geometry_typmod_in,cstring[],integer,SECURITY INVOKER
geometry_typmod_out,integer,cstring,SECURITY INVOKER
